time;CH1;CH2
0.0496;0.8;-2.96
0.05;0.8;-2.96
0.0504;0.8;-2.96
0.0508;0.8;-3.04
0.0512;0.8;-3.04
0.0516;0.8;-3.12
0.052;0.8;-3.12
0.0524;0.8;-3.12
0.0528;0.8;-3.12
0.0532;0.8;-3.12
0.0536;0.8;-3.12
0.054;0.8;-3.2
0.0544;0.8;-3.2
0.0548;0.8;-3.2
0.0552;0.8;-3.28
0.0556;0.8;-3.28
0.056;0.8;-3.28
0.0564;0.8;-3.36
0.0568;0.8;-3.28
0.0572;0.8;-3.36
0.0576;0.8;-3.44
0.058;0.8;-3.44
0.0584;0.8;-3.52
0.0588;1;-3.6
0.0592;0.8;-3.52
0.0596;1;-3.6
0.06;0.8;-3.6
0.0604;1;-3.6
0.0608;1;-3.6
0.0612;1;-3.6
0.0616;1;-3.68
0.062;1;-3.76
0.0624;1;-3.76
0.0628;1;-3.76
0.0632;1;-3.84
0.0636;1;-3.84
0.064;1;-3.92
0.0644;1;-3.92
0.0648;1;-3.92
0.0652;1;-4
0.0656;1;-4
0.066;1;-3.92
0.0664;1;-4
0.0668;1;-4
0.0672;1;-4
0.0676;1;-4.08
0.068;1.2;-4.08
0.0684;1;-4.16
0.0688;1.2;-4.16
0.0692;1.2;-4.16
0.0696;1.2;-4.16
0.07;1;-4.24
0.0704;1;-4.16
0.0708;1;-4.24
0.0712;1;-4.32
0.0716;1.2;-4.24
0.072;1.2;-4.32
0.0724;1.2;-4.32
0.0728;1.2;-4.32
0.0732;1.2;-4.32
0.0736;1.2;-4.4
0.074;1.2;-4.4
0.0744;1.2;-4.4
0.0748;1.2;-4.4
0.0752;1.2;-4.48
0.0756;1.2;-4.4
0.076;1.2;-4.48
0.0764;1.2;-4.48
0.0768;1.2;-4.48
0.0772;1.2;-4.48
0.0776;1.2;-4.48
0.078;1.2;-4.48
0.0784;1.2;-4.56
0.0788;1.4;-4.56
0.0792;1.2;-4.56
0.0796;1.2;-4.56
0.08;1.2;-4.64
0.0804;1.2;-4.64
0.0808;1.4;-4.64
0.0812;1.4;-4.64
0.0816;1.4;-4.64
0.082;1.2;-4.64
0.0824;1.4;-4.64
0.0828;1.4;-4.64
0.0832;1.4;-4.72
0.0836;1.4;-4.64
0.084;1.4;-4.72
0.0844;1.4;-4.72
0.0848;1.4;-4.72
0.0852;1.4;-4.72
0.0856;1.4;-4.72
0.086;1.4;-4.72
0.0864;1.4;-4.72
0.0868;1.4;-4.72
0.0872;1.4;-4.72
0.0876;1.4;-4.72
0.088;1.4;-4.72
0.0884;1.4;-4.72
0.0888;1.4;-4.72
0.0892;1.4;-4.72
0.0896;1.4;-4.64
0.09;1.4;-4.72
0.0904;1.4;-4.72
0.0908;1.4;-4.72
0.0912;1.4;-4.72
0.0916;1.6;-4.72
0.092;1.4;-4.72
0.0924;1.4;-4.72
0.0928;1.4;-4.72
0.0932;1.4;-4.64
0.0936;1.4;-4.72
0.094;1.4;-4.64
0.0944;1.4;-4.72
0.0948;1.6;-4.64
0.0952;1.6;-4.64
